round_id,nof_cluster_discard,nof_point_discard,nof_cluster_compression,nof_point_compression,nof_point_retained
1,10,10000,18,127923,0
2,10,147923,12,127923,0
3,10,285846,10,127923,0
4,10,423769,10,127923,0
5,10,689617,0,0,0
