round_id,nof_cluster_discard,nof_point_discard,nof_cluster_compression,nof_point_compression,nof_point_retained
1,10,15000,17,6322,0
2,10,36310,12,6322,8
3,10,57620,10,6322,16
4,10,78932,9,6322,22
5,10,100238,9,6322,34
6,10,121545,8,6322,45
7,10,142855,8,6322,53
8,10,164160,6,6322,66
9,10,185464,6,6322,80
10,10,213184,0,0,0
